time,value
0.000000,0.000000
0.010000,0.062728
0.020000,0.125083
0.030000,0.186820
0.040000,0.247697
0.050000,0.307476
0.060000,0.365922
0.070000,0.422809
0.080000,0.477915
0.090000,0.531026
0.100000,0.581936
0.110000,0.630450
0.120000,0.676381
0.130000,0.719553
0.140000,0.759801
0.150000,0.796972
0.160000,0.830926
0.170000,0.861535
0.180000,0.888685
0.190000,0.912277
0.200000,0.932224
0.210000,0.948455
0.220000,0.960913
0.230000,0.969556
0.240000,0.974359
0.250000,0.975310
0.260000,0.972413
0.270000,0.965686
0.280000,0.955165
0.290000,0.940898
0.300000,0.922949
0.310000,0.901396
0.320000,0.876332
0.330000,0.847861
0.340000,0.816104
0.350000,0.781192
0.360000,0.743269
0.370000,0.702491
0.380000,0.659024
0.390000,0.613045
0.400000,0.564740
0.410000,0.514304
0.420000,0.461941
0.430000,0.407861
0.440000,0.352280
0.450000,0.295422
0.460000,0.237512
0.470000,0.178780
0.480000,0.119462
0.490000,0.059790
0.500000,0.000003
0.510000,-0.059666
0.520000,-0.118980
0.530000,-0.177706
0.540000,-0.235614
0.550000,-0.292477
0.560000,-0.348074
0.570000,-0.402186
0.580000,-0.454604
0.590000,-0.505125
0.600000,-0.553553
0.610000,-0.599701
0.620000,-0.643392
0.630000,-0.684458
0.640000,-0.722743
0.650000,-0.758102
0.660000,-0.790400
0.670000,-0.819516
0.680000,-0.845343
0.690000,-0.867784
0.700000,-0.886758
0.710000,-0.902197
0.720000,-0.914048
0.730000,-0.922270
0.740000,-0.926839
0.750000,-0.927744
0.760000,-0.924988
0.770000,-0.918589
0.780000,-0.908582
0.790000,-0.895011
0.800000,-0.877937
0.810000,-0.857436
0.820000,-0.833594
0.830000,-0.806512
0.840000,-0.776304
0.850000,-0.743095
0.860000,-0.707021
0.870000,-0.668232
0.880000,-0.626885
0.890000,-0.583148
0.900000,-0.537199
0.910000,-0.489223
0.920000,-0.439414
0.930000,-0.387971
0.940000,-0.335102
0.950000,-0.281016
0.960000,-0.225930
0.970000,-0.170064
0.980000,-0.113638
0.990000,-0.056877
1.000000,-0.000005
1.010000,0.056754
1.020000,0.113175
1.030000,0.169037
1.040000,0.224121
1.050000,0.278211
1.060000,0.331096
1.070000,0.382569
1.080000,0.432431
1.090000,0.480488
1.100000,0.526554
1.110000,0.570451
1.120000,0.612012
1.130000,0.651075
1.140000,0.687493
1.150000,0.721127
1.160000,0.751850
1.170000,0.779547
1.180000,0.804114
1.190000,0.825461
1.200000,0.843510
1.210000,0.858196
1.220000,0.869469
1.230000,0.877290
1.240000,0.881636
1.250000,0.882497
1.260000,0.879876
1.270000,0.873790
1.280000,0.864270
1.290000,0.851361
1.300000,0.835120
1.310000,0.815619
1.320000,0.792940
1.330000,0.767179
1.340000,0.738444
1.350000,0.706855
1.360000,0.672541
1.370000,0.635643
1.380000,0.596313
1.390000,0.554709
1.400000,0.511001
1.410000,0.465365
1.420000,0.417985
1.430000,0.369052
1.440000,0.318761
1.450000,0.267313
1.460000,0.214914
1.470000,0.161772
1.480000,0.108098
1.490000,0.054105
1.500000,0.000007
1.510000,-0.053983
1.520000,-0.107653
1.530000,-0.160791
1.540000,-0.213188
1.550000,-0.264640
1.560000,-0.314946
1.570000,-0.363909
1.580000,-0.411339
1.590000,-0.457052
1.600000,-0.500872
1.610000,-0.542628
1.620000,-0.582162
1.630000,-0.619320
1.640000,-0.653962
1.650000,-0.685956
1.660000,-0.715181
1.670000,-0.741527
1.680000,-0.764896
1.690000,-0.785202
1.700000,-0.802371
1.710000,-0.816341
1.720000,-0.827064
1.730000,-0.834504
1.740000,-0.838638
1.750000,-0.839457
1.760000,-0.836964
1.770000,-0.831175
1.780000,-0.822119
1.790000,-0.809840
1.800000,-0.794392
1.810000,-0.775841
1.820000,-0.754269
1.830000,-0.729764
1.840000,-0.702431
1.850000,-0.672382
1.860000,-0.639742
1.870000,-0.604644
1.880000,-0.567232
1.890000,-0.527657
1.900000,-0.486081
1.910000,-0.442671
1.920000,-0.397602
1.930000,-0.351055
1.940000,-0.303217
1.950000,-0.254278
1.960000,-0.204434
1.970000,-0.153884
1.980000,-0.102828
1.990000,-0.051469
2.000000,-0.000009
2.010000,0.051348
2.020000,0.102400
2.030000,0.152947
2.040000,0.202789
2.050000,0.251731
2.060000,0.299584
2.070000,0.346159
2.080000,0.391276
2.090000,0.434760
2.100000,0.476442
2.110000,0.516163
2.120000,0.553768
2.130000,0.589114
2.140000,0.622067
2.150000,0.652500
2.160000,0.680300
2.170000,0.705361
2.180000,0.727591
2.190000,0.746906
2.200000,0.763238
2.210000,0.776527
2.220000,0.786727
2.230000,0.793805
2.240000,0.797737
2.250000,0.798516
2.260000,0.796145
2.270000,0.790638
2.280000,0.782025
2.290000,0.770344
2.300000,0.755649
2.310000,0.738004
2.320000,0.717483
2.330000,0.694174
2.340000,0.668174
2.350000,0.639591
2.360000,0.608543
2.370000,0.575157
2.380000,0.539569
2.390000,0.501925
2.400000,0.462376
2.410000,0.421084
2.420000,0.378213
2.430000,0.333936
2.440000,0.288431
2.450000,0.241879
2.460000,0.194466
2.470000,0.146381
2.480000,0.097815
2.490000,0.048961
2.500000,0.000010
2.510000,-0.048842
2.520000,-0.097404
2.530000,-0.145485
2.540000,-0.192897
2.550000,-0.239452
2.560000,-0.284971
2.570000,-0.329275
2.580000,-0.372191
2.590000,-0.413555
2.600000,-0.453204
2.610000,-0.490987
2.620000,-0.526759
2.630000,-0.560381
2.640000,-0.591727
2.650000,-0.620676
2.660000,-0.647120
2.670000,-0.670959
2.680000,-0.692105
2.690000,-0.710479
2.700000,-0.726014
2.710000,-0.738655
2.720000,-0.748358
2.730000,-0.755090
2.740000,-0.758831
2.750000,-0.759572
2.760000,-0.757316
2.770000,-0.752079
2.780000,-0.743885
2.790000,-0.732775
2.800000,-0.718797
2.810000,-0.702012
2.820000,-0.682492
2.830000,-0.660320
2.840000,-0.635588
2.850000,-0.608399
2.860000,-0.578865
2.870000,-0.547107
2.880000,-0.513256
2.890000,-0.477447
2.900000,-0.439828
2.910000,-0.400549
2.920000,-0.359769
2.930000,-0.317651
2.940000,-0.274365
2.950000,-0.230084
2.960000,-0.184984
2.970000,-0.139244
2.980000,-0.093047
2.990000,-0.046575
3.000000,-0.000012
3.010000,0.046458
3.020000,0.092652
3.030000,0.138388
3.040000,0.183487
3.050000,0.227772
3.060000,0.271071
3.070000,0.313214
3.080000,0.354038
3.090000,0.393384
3.100000,0.431100
3.110000,0.467040
3.120000,0.501067
3.130000,0.533050
3.140000,0.562867
3.150000,0.590405
3.160000,0.615559
3.170000,0.638235
3.180000,0.658350
3.190000,0.675827
3.200000,0.690605
3.210000,0.702630
3.220000,0.711860
3.230000,0.718264
3.240000,0.721822
3.250000,0.722528
3.260000,0.720382
3.270000,0.715400
3.280000,0.707606
3.290000,0.697037
3.300000,0.683741
3.310000,0.667775
3.320000,0.649207
3.330000,0.628117
3.340000,0.604591
3.350000,0.578728
3.360000,0.550635
3.370000,0.520426
3.380000,0.488225
3.390000,0.454163
3.400000,0.418379
3.410000,0.381015
3.420000,0.342224
3.430000,0.302161
3.440000,0.260986
3.450000,0.218865
3.460000,0.175964
3.470000,0.132455
3.480000,0.088511
3.490000,0.044305
3.500000,0.000013
3.510000,-0.044190
3.520000,-0.088131
3.530000,-0.131637
3.540000,-0.174536
3.550000,-0.216662
3.560000,-0.257849
3.570000,-0.297937
3.580000,-0.336769
3.590000,-0.374197
3.600000,-0.410073
3.610000,-0.444261
3.620000,-0.476628
3.630000,-0.507052
3.640000,-0.535414
3.650000,-0.561609
3.660000,-0.585537
3.670000,-0.607107
3.680000,-0.626241
3.690000,-0.642866
3.700000,-0.656923
3.710000,-0.668362
3.720000,-0.677142
3.730000,-0.683233
3.740000,-0.686619
3.750000,-0.687289
3.760000,-0.685249
3.770000,-0.680509
3.780000,-0.673096
3.790000,-0.663043
3.800000,-0.650395
3.810000,-0.635208
3.820000,-0.617546
3.830000,-0.597484
3.840000,-0.575106
3.850000,-0.550504
3.860000,-0.523781
3.870000,-0.495046
3.880000,-0.464416
3.890000,-0.432015
3.900000,-0.397975
3.910000,-0.362435
3.920000,-0.325535
3.930000,-0.287426
3.940000,-0.248259
3.950000,-0.208192
3.960000,-0.167384
3.970000,-0.125997
3.980000,-0.084196
3.990000,-0.042146
4.000000,-0.000014
4.010000,0.042033
4.020000,0.083831
4.030000,0.125215
4.040000,0.166023
4.050000,0.206094
4.060000,0.245272
4.070000,0.283405
4.080000,0.320343
4.090000,0.355945
4.100000,0.390072
4.110000,0.422593
4.120000,0.453382
4.130000,0.482321
4.140000,0.509301
4.150000,0.534218
4.160000,0.556979
4.170000,0.577498
4.180000,0.595698
4.190000,0.611513
4.200000,0.624884
4.210000,0.635765
4.220000,0.644117
4.230000,0.649911
4.240000,0.653132
4.250000,0.653770
4.260000,0.651829
4.270000,0.647321
4.280000,0.640269
4.290000,0.630706
4.300000,0.618676
4.310000,0.604229
4.320000,0.587429
4.330000,0.568345
4.340000,0.547059
4.350000,0.523657
4.360000,0.498237
4.370000,0.470903
4.380000,0.441767
4.390000,0.410947
4.400000,0.378567
4.410000,0.344760
4.420000,0.309660
4.430000,0.273410
4.440000,0.236153
4.450000,0.198040
4.460000,0.159222
4.470000,0.119854
4.480000,0.080091
4.490000,0.040092
4.500000,0.000015
4.510000,-0.039982
4.520000,-0.079741
4.530000,-0.119107
4.540000,-0.157924
4.550000,-0.196041
4.560000,-0.233308
4.570000,-0.269581
4.580000,-0.304719
4.590000,-0.338584
4.600000,-0.371047
4.610000,-0.401981
4.620000,-0.431269
4.630000,-0.458797
4.640000,-0.484461
4.650000,-0.508163
4.660000,-0.529814
4.670000,-0.549332
4.680000,-0.566645
4.690000,-0.581688
4.700000,-0.594408
4.710000,-0.604758
4.720000,-0.612702
4.730000,-0.618215
4.740000,-0.621278
4.750000,-0.621885
4.760000,-0.620039
4.770000,-0.615751
4.780000,-0.609043
4.790000,-0.599947
4.800000,-0.588503
4.810000,-0.574761
4.820000,-0.558780
4.830000,-0.540628
4.840000,-0.520379
4.850000,-0.498119
4.860000,-0.473939
4.870000,-0.447938
4.880000,-0.420223
4.890000,-0.390906
4.900000,-0.360106
4.910000,-0.327947
4.920000,-0.294559
4.930000,-0.260077
4.940000,-0.224637
4.950000,-0.188383
4.960000,-0.151458
4.970000,-0.114010
4.980000,-0.076187
4.990000,-0.038139
5.000000,-0.000016
