time,value
0.000000,0.214970
0.050000,-0.708245
0.100000,-0.407003
0.150000,0.197814
0.200000,0.345735
0.250000,-0.684110
0.300000,-0.339439
0.350000,-0.839290
0.400000,0.587600
0.450000,-0.617940
0.500000,0.616098
0.550000,0.801829
0.600000,-0.670481
0.650000,-0.893496
0.700000,-0.146474
0.750000,-0.813515
0.800000,0.214833
0.850000,-0.211000
0.900000,0.225212
0.950000,0.794542
1.000000,-0.769626
1.050000,-0.498655
1.100000,0.074876
1.150000,0.804159
1.200000,0.732706
1.250000,-0.123439
1.300000,0.486782
1.350000,0.826270
1.400000,0.408170
1.450000,-0.748313
1.500000,0.388665
1.550000,-0.376861
1.600000,-0.456558
1.650000,0.981662
1.700000,0.820954
1.750000,0.889177
1.800000,-0.702448
1.850000,-0.518485
1.900000,-0.950113
1.950000,0.885152
2.000000,-0.136425
2.050000,0.665985
2.100000,0.686981
2.150000,0.193094
2.200000,0.772489
2.250000,-0.459492
2.300000,0.379579
2.350000,-0.012678
2.400000,0.329508
2.450000,-0.395209
2.500000,-0.218137
2.550000,0.559882
2.600000,0.106136
2.650000,0.856739
2.700000,0.364041
2.750000,-0.161158
2.800000,-0.266700
2.850000,-0.149177
2.900000,-0.334888
2.950000,-0.858530
3.000000,0.102510
