time,value
0.000000,0.000000
0.010000,0.062166
0.020000,0.122851
0.030000,0.181843
0.040000,0.238938
0.050000,0.293946
0.060000,0.346686
0.070000,0.396994
0.080000,0.444714
0.090000,0.489708
0.100000,0.531850
0.110000,0.571026
0.120000,0.607138
0.130000,0.640104
0.140000,0.669852
0.150000,0.696327
0.160000,0.719488
0.170000,0.739309
0.180000,0.755775
0.190000,0.768887
0.200000,0.778659
0.210000,0.785118
0.220000,0.788304
0.230000,0.788268
0.240000,0.785076
0.250000,0.778801
0.260000,0.769530
0.270000,0.757360
0.280000,0.742397
0.290000,0.724756
0.300000,0.704561
0.310000,0.681942
0.320000,0.657040
0.330000,0.629998
0.340000,0.600968
0.350000,0.570106
0.360000,0.537570
0.370000,0.503525
0.380000,0.468136
0.390000,0.431573
0.400000,0.394005
0.410000,0.355603
0.420000,0.316536
0.430000,0.276975
0.440000,0.237087
0.450000,0.197039
0.460000,0.156995
0.470000,0.117115
0.480000,0.077556
0.490000,0.038469
0.500000,0.000002
0.510000,-0.037704
0.520000,-0.074512
0.530000,-0.110292
0.540000,-0.144922
0.550000,-0.178286
0.560000,-0.210275
0.570000,-0.240788
0.580000,-0.269732
0.590000,-0.297022
0.600000,-0.322582
0.610000,-0.346344
0.620000,-0.368247
0.630000,-0.388242
0.640000,-0.406285
0.650000,-0.422343
0.660000,-0.436391
0.670000,-0.448413
0.680000,-0.458400
0.690000,-0.466353
0.700000,-0.472280
0.710000,-0.476198
0.720000,-0.478130
0.730000,-0.478109
0.740000,-0.476173
0.750000,-0.472367
0.760000,-0.466744
0.770000,-0.459363
0.780000,-0.450287
0.790000,-0.439587
0.800000,-0.427338
0.810000,-0.413619
0.820000,-0.398516
0.830000,-0.382114
0.840000,-0.364506
0.850000,-0.345787
0.860000,-0.326053
0.870000,-0.305404
0.880000,-0.283940
0.890000,-0.261763
0.900000,-0.238977
0.910000,-0.215685
0.920000,-0.191990
0.930000,-0.167995
0.940000,-0.143802
0.950000,-0.119511
0.960000,-0.095224
0.970000,-0.071035
0.980000,-0.047041
0.990000,-0.023333
1.000000,-0.000002
1.010000,0.022868
1.020000,0.045193
1.030000,0.066895
1.040000,0.087899
1.050000,0.108135
1.060000,0.127537
1.070000,0.146044
1.080000,0.163600
1.090000,0.180152
1.100000,0.195655
1.110000,0.210067
1.120000,0.223353
1.130000,0.235480
1.140000,0.246424
1.150000,0.256164
1.160000,0.264684
1.170000,0.271976
1.180000,0.278034
1.190000,0.282857
1.200000,0.286452
1.210000,0.288829
1.220000,0.290001
1.230000,0.289988
1.240000,0.288813
1.250000,0.286505
1.260000,0.283095
1.270000,0.278618
1.280000,0.273113
1.290000,0.266623
1.300000,0.259194
1.310000,0.250873
1.320000,0.241712
1.330000,0.231764
1.340000,0.221085
1.350000,0.209731
1.360000,0.197762
1.370000,0.185237
1.380000,0.172219
1.390000,0.158768
1.400000,0.144948
1.410000,0.130820
1.420000,0.116448
1.430000,0.101895
1.440000,0.087221
1.450000,0.072488
1.460000,0.057757
1.470000,0.043086
1.480000,0.028532
1.490000,0.014153
1.500000,0.000002
1.510000,-0.013869
1.520000,-0.027410
1.530000,-0.040573
1.540000,-0.053313
1.550000,-0.065587
1.560000,-0.077355
1.570000,-0.088580
1.580000,-0.099228
1.590000,-0.109267
1.600000,-0.118671
1.610000,-0.127412
1.620000,-0.135470
1.630000,-0.142826
1.640000,-0.149463
1.650000,-0.155371
1.660000,-0.160539
1.670000,-0.164962
1.680000,-0.168636
1.690000,-0.171562
1.700000,-0.173742
1.710000,-0.175183
1.720000,-0.175894
1.730000,-0.175886
1.740000,-0.175174
1.750000,-0.173774
1.760000,-0.171706
1.770000,-0.168990
1.780000,-0.165652
1.790000,-0.161715
1.800000,-0.157209
1.810000,-0.152163
1.820000,-0.146606
1.830000,-0.140572
1.840000,-0.134095
1.850000,-0.127209
1.860000,-0.119949
1.870000,-0.112353
1.880000,-0.104456
1.890000,-0.096298
1.900000,-0.087916
1.910000,-0.079347
1.920000,-0.070630
1.930000,-0.061803
1.940000,-0.052902
1.950000,-0.043967
1.960000,-0.035032
1.970000,-0.026133
1.980000,-0.017306
1.990000,-0.008585
2.000000,-0.000001
2.010000,0.008412
2.020000,0.016625
2.030000,0.024608
2.040000,0.032336
2.050000,0.039780
2.060000,0.046918
2.070000,0.053726
2.080000,0.060184
2.090000,0.066274
2.100000,0.071977
2.110000,0.077279
2.120000,0.082166
2.130000,0.086628
2.140000,0.090654
2.150000,0.094237
2.160000,0.097372
2.170000,0.100054
2.180000,0.102283
2.190000,0.104057
2.200000,0.105380
2.210000,0.106254
2.220000,0.106685
2.230000,0.106681
2.240000,0.106249
2.250000,0.105399
2.260000,0.104145
2.270000,0.102498
2.280000,0.100473
2.290000,0.098085
2.300000,0.095352
2.310000,0.092291
2.320000,0.088921
2.330000,0.085262
2.340000,0.081333
2.350000,0.077156
2.360000,0.072753
2.370000,0.068145
2.380000,0.063356
2.390000,0.058408
2.400000,0.053324
2.410000,0.048126
2.420000,0.042839
2.430000,0.037485
2.440000,0.032087
2.450000,0.026667
2.460000,0.021248
2.470000,0.015851
2.480000,0.010497
2.490000,0.005207
2.500000,0.000001
2.510000,-0.005102
2.520000,-0.010083
2.530000,-0.014926
2.540000,-0.019612
2.550000,-0.024128
2.560000,-0.028457
2.570000,-0.032586
2.580000,-0.036504
2.590000,-0.040197
2.600000,-0.043656
2.610000,-0.046872
2.620000,-0.049836
2.630000,-0.052542
2.640000,-0.054984
2.650000,-0.057158
2.660000,-0.059059
2.670000,-0.060686
2.680000,-0.062037
2.690000,-0.063114
2.700000,-0.063916
2.710000,-0.064446
2.720000,-0.064708
2.730000,-0.064705
2.740000,-0.064443
2.750000,-0.063928
2.760000,-0.063167
2.770000,-0.062168
2.780000,-0.060940
2.790000,-0.059492
2.800000,-0.057834
2.810000,-0.055978
2.820000,-0.053934
2.830000,-0.051714
2.840000,-0.049331
2.850000,-0.046798
2.860000,-0.044127
2.870000,-0.041332
2.880000,-0.038428
2.890000,-0.035426
2.900000,-0.032343
2.910000,-0.029190
2.920000,-0.025984
2.930000,-0.022736
2.940000,-0.019462
2.950000,-0.016175
2.960000,-0.012888
2.970000,-0.009614
2.980000,-0.006367
2.990000,-0.003158
3.000000,-0.000001
3.010000,0.003094
3.020000,0.006116
3.030000,0.009053
3.040000,0.011895
3.050000,0.014634
3.060000,0.017260
3.070000,0.019765
3.080000,0.022140
3.090000,0.024381
3.100000,0.026479
3.110000,0.028429
3.120000,0.030227
3.130000,0.031868
3.140000,0.033350
3.150000,0.034668
3.160000,0.035821
3.170000,0.036808
3.180000,0.037628
3.190000,0.038280
3.200000,0.038767
3.210000,0.039089
3.220000,0.039247
3.230000,0.039246
3.240000,0.039087
3.250000,0.038774
3.260000,0.038313
3.270000,0.037707
3.280000,0.036962
3.290000,0.036084
3.300000,0.035078
3.310000,0.033952
3.320000,0.032712
3.330000,0.031366
3.340000,0.029921
3.350000,0.028384
3.360000,0.026764
3.370000,0.025069
3.380000,0.023308
3.390000,0.021487
3.400000,0.019617
3.410000,0.017705
3.420000,0.015760
3.430000,0.013790
3.440000,0.011804
3.450000,0.009811
3.460000,0.007817
3.470000,0.005831
3.480000,0.003862
3.490000,0.001916
3.500000,0.000001
3.510000,-0.001877
3.520000,-0.003709
3.530000,-0.005491
3.540000,-0.007215
3.550000,-0.008876
3.560000,-0.010469
3.570000,-0.011988
3.580000,-0.013429
3.590000,-0.014788
3.600000,-0.016060
3.610000,-0.017243
3.620000,-0.018334
3.630000,-0.019329
3.640000,-0.020228
3.650000,-0.021027
3.660000,-0.021726
3.670000,-0.022325
3.680000,-0.022822
3.690000,-0.023218
3.700000,-0.023513
3.710000,-0.023708
3.720000,-0.023805
3.730000,-0.023804
3.740000,-0.023707
3.750000,-0.023518
3.760000,-0.023238
3.770000,-0.022870
3.780000,-0.022419
3.790000,-0.021886
3.800000,-0.021276
3.810000,-0.020593
3.820000,-0.019841
3.830000,-0.019025
3.840000,-0.018148
3.850000,-0.017216
3.860000,-0.016233
3.870000,-0.015205
3.880000,-0.014137
3.890000,-0.013033
3.900000,-0.011898
3.910000,-0.010739
3.920000,-0.009559
3.930000,-0.008364
3.940000,-0.007160
3.950000,-0.005950
3.960000,-0.004741
3.970000,-0.003537
3.980000,-0.002342
3.990000,-0.001162
4.000000,-0.000000
4.010000,0.001138
4.020000,0.002250
4.030000,0.003330
4.040000,0.004376
4.050000,0.005383
4.060000,0.006349
4.070000,0.007271
4.080000,0.008145
4.090000,0.008969
4.100000,0.009741
4.110000,0.010458
4.120000,0.011120
4.130000,0.011724
4.140000,0.012269
4.150000,0.012754
4.160000,0.013178
4.170000,0.013541
4.180000,0.013842
4.190000,0.014083
4.200000,0.014262
4.210000,0.014380
4.220000,0.014438
4.230000,0.014438
4.240000,0.014379
4.250000,0.014264
4.260000,0.014094
4.270000,0.013872
4.280000,0.013598
4.290000,0.013274
4.300000,0.012905
4.310000,0.012490
