time,value
0.000000,0.000000
0.010000,0.062790
0.020000,0.125333
0.030000,0.187381
0.040000,0.248690
0.050000,0.309017
0.060000,0.368124
0.070000,0.425779
0.080000,0.481753
0.090000,0.535826
0.100000,0.587785
0.110000,0.637424
0.120000,0.684547
0.130000,0.728968
0.140000,0.770513
0.150000,0.809017
0.160000,0.844327
0.170000,0.876306
0.180000,0.904827
0.190000,0.929776
0.200000,0.951056
0.210000,0.968583
0.220000,0.982287
0.230000,0.992115
0.240000,0.998027
0.250000,1.000000
0.260000,0.998027
0.270000,0.992115
0.280000,0.982288
0.290000,0.968584
0.300000,0.951057
0.310000,0.929777
0.320000,0.904828
0.330000,0.876308
0.340000,0.844329
0.350000,0.809018
0.360000,0.770514
0.370000,0.728970
0.380000,0.684549
0.390000,0.637426
0.400000,0.587787
0.410000,0.535829
0.420000,0.481756
0.430000,0.425781
0.440000,0.368127
0.450000,0.309019
0.460000,0.248692
0.470000,0.187384
0.480000,0.125336
0.490000,0.062793
0.500000,0.000003
0.510000,-0.062788
0.520000,-0.125330
0.530000,-0.187379
0.540000,-0.248687
0.550000,-0.309014
0.560000,-0.368122
0.570000,-0.425777
0.580000,-0.481751
0.590000,-0.535824
0.600000,-0.587783
0.610000,-0.637421
0.620000,-0.684545
0.630000,-0.728966
0.640000,-0.770511
0.650000,-0.809015
0.660000,-0.844326
0.670000,-0.876305
0.680000,-0.904826
0.690000,-0.929775
0.700000,-0.951055
0.710000,-0.968582
0.720000,-0.982287
0.730000,-0.992114
0.740000,-0.998026
0.750000,-1.000000
0.760000,-0.998027
0.770000,-0.992115
0.780000,-0.982288
0.790000,-0.968584
0.800000,-0.951058
0.810000,-0.929778
0.820000,-0.904829
0.830000,-0.876309
0.840000,-0.844330
0.850000,-0.809020
0.860000,-0.770516
0.870000,-0.728972
0.880000,-0.684551
0.890000,-0.637428
0.900000,-0.587789
0.910000,-0.535831
0.920000,-0.481758
0.930000,-0.425784
0.940000,-0.368129
0.950000,-0.309022
0.960000,-0.248695
0.970000,-0.187386
0.980000,-0.125338
0.990000,-0.062796
1.000000,-0.000005
1.010000,0.062785
1.020000,0.125328
1.030000,0.187376
1.040000,0.248685
1.050000,0.309012
1.060000,0.368119
1.070000,0.425774
1.080000,0.481749
1.090000,0.535822
1.100000,0.587781
1.110000,0.637419
1.120000,0.684543
1.130000,0.728965
1.140000,0.770509
1.150000,0.809013
1.160000,0.844325
1.170000,0.876304
1.180000,0.904824
1.190000,0.929774
1.200000,0.951055
1.210000,0.968582
1.220000,0.982286
1.230000,0.992114
1.240000,0.998026
1.250000,1.000000
1.260000,0.998027
1.270000,0.992116
1.280000,0.982289
1.290000,0.968585
1.300000,0.951059
1.310000,0.929779
1.320000,0.904830
1.330000,0.876310
1.340000,0.844332
1.350000,0.809021
1.360000,0.770518
1.370000,0.728974
1.380000,0.684552
1.390000,0.637430
1.400000,0.587791
1.410000,0.535833
1.420000,0.481760
1.430000,0.425786
1.440000,0.368132
1.450000,0.309024
1.460000,0.248697
1.470000,0.187389
1.480000,0.125341
1.490000,0.062798
1.500000,0.000008
1.510000,-0.062783
1.520000,-0.125325
1.530000,-0.187373
1.540000,-0.248682
1.550000,-0.309009
1.560000,-0.368117
1.570000,-0.425772
1.580000,-0.481746
1.590000,-0.535820
1.600000,-0.587778
1.610000,-0.637417
1.620000,-0.684541
1.630000,-0.728963
1.640000,-0.770508
1.650000,-0.809012
1.660000,-0.844323
1.670000,-0.876302
1.680000,-0.904823
1.690000,-0.929773
1.700000,-0.951054
1.710000,-0.968581
1.720000,-0.982286
1.730000,-0.992114
1.740000,-0.998026
1.750000,-1.000000
1.760000,-0.998027
1.770000,-0.992116
1.780000,-0.982289
1.790000,-0.968586
1.800000,-0.951059
1.810000,-0.929780
1.820000,-0.904831
1.830000,-0.876311
1.840000,-0.844333
1.850000,-0.809023
1.860000,-0.770520
1.870000,-0.728975
1.880000,-0.684554
1.890000,-0.637432
1.900000,-0.587793
1.910000,-0.535835
1.920000,-0.481763
1.930000,-0.425789
1.940000,-0.368134
1.950000,-0.309027
1.960000,-0.248700
1.970000,-0.187392
1.980000,-0.125344
1.990000,-0.062801
2.000000,-0.000011
2.010000,0.062780
2.020000,0.125323
2.030000,0.187371
2.040000,0.248679
2.050000,0.309007
2.060000,0.368114
2.070000,0.425769
2.080000,0.481744
2.090000,0.535817
2.100000,0.587776
2.110000,0.637415
2.120000,0.684539
2.130000,0.728961
2.140000,0.770506
2.150000,0.809010
2.160000,0.844322
2.170000,0.876301
2.180000,0.904822
2.190000,0.929772
2.200000,0.951053
2.210000,0.968580
2.220000,0.982285
2.230000,0.992113
2.240000,0.998026
2.250000,1.000000
2.260000,0.998027
2.270000,0.992116
2.280000,0.982290
2.290000,0.968586
2.300000,0.951060
2.310000,0.929781
2.320000,0.904832
2.330000,0.876313
2.340000,0.844335
2.350000,0.809024
2.360000,0.770521
2.370000,0.728977
2.380000,0.684556
2.390000,0.637434
2.400000,0.587796
2.410000,0.535838
2.420000,0.481765
2.430000,0.425791
2.440000,0.368137
2.450000,0.309029
2.460000,0.248703
2.470000,0.187394
2.480000,0.125346
2.490000,0.062804
2.500000,0.000013
2.510000,-0.062777
2.520000,-0.125320
2.530000,-0.187368
2.540000,-0.248677
2.550000,-0.309004
2.560000,-0.368112
2.570000,-0.425767
2.580000,-0.481742
2.590000,-0.535815
2.600000,-0.587774
2.610000,-0.637413
2.620000,-0.684537
2.630000,-0.728959
2.640000,-0.770504
2.650000,-0.809009
2.660000,-0.844320
2.670000,-0.876300
2.680000,-0.904821
2.690000,-0.929771
2.700000,-0.951052
2.710000,-0.968580
2.720000,-0.982285
2.730000,-0.992113
2.740000,-0.998026
2.750000,-1.000000
2.760000,-0.998028
2.770000,-0.992117
2.780000,-0.982290
2.790000,-0.968587
2.800000,-0.951061
2.810000,-0.929782
2.820000,-0.904833
2.830000,-0.876314
2.840000,-0.844336
2.850000,-0.809026
2.860000,-0.770523
2.870000,-0.728979
2.880000,-0.684558
2.890000,-0.637436
2.900000,-0.587798
2.910000,-0.535840
2.920000,-0.481767
2.930000,-0.425793
2.940000,-0.368139
2.950000,-0.309032
2.960000,-0.248705
2.970000,-0.187397
2.980000,-0.125349
2.990000,-0.062806
3.000000,-0.000016
3.010000,0.062775
3.020000,0.125317
3.030000,0.187366
3.040000,0.248674
3.050000,0.309002
3.060000,0.368109
3.070000,0.425765
3.080000,0.481739
3.090000,0.535813
3.100000,0.587772
3.110000,0.637411
3.120000,0.684535
3.130000,0.728957
3.140000,0.770503
3.150000,0.809007
3.160000,0.844319
3.170000,0.876299
3.180000,0.904820
3.190000,0.929770
3.200000,0.951051
3.210000,0.968579
3.220000,0.982284
3.230000,0.992113
3.240000,0.998026
3.250000,1.000000
3.260000,0.998028
3.270000,0.992117
3.280000,0.982291
3.290000,0.968588
3.300000,0.951062
3.310000,0.929783
3.320000,0.904835
3.330000,0.876315
3.340000,0.844337
3.350000,0.809027
3.360000,0.770525
3.370000,0.728981
3.380000,0.684560
3.390000,0.637438
3.400000,0.587800
3.410000,0.535842
3.420000,0.481770
3.430000,0.425796
3.440000,0.368142
3.450000,0.309034
3.460000,0.248708
3.470000,0.187399
3.480000,0.125352
3.490000,0.062809
3.500000,0.000019
3.510000,-0.062772
3.520000,-0.125315
3.530000,-0.187363
3.540000,-0.248672
3.550000,-0.308999
3.560000,-0.368107
3.570000,-0.425762
3.580000,-0.481737
3.590000,-0.535811
3.600000,-0.587770
3.610000,-0.637409
3.620000,-0.684533
3.630000,-0.728955
3.640000,-0.770501
3.650000,-0.809006
3.660000,-0.844318
3.670000,-0.876297
3.680000,-0.904819
3.690000,-0.929769
3.700000,-0.951050
3.710000,-0.968578
3.720000,-0.982284
3.730000,-0.992112
3.740000,-0.998025
3.750000,-1.000000
3.760000,-0.998028
3.770000,-0.992117
3.780000,-0.982291
3.790000,-0.968588
3.800000,-0.951063
3.810000,-0.929784
3.820000,-0.904836
3.830000,-0.876316
3.840000,-0.844339
3.850000,-0.809029
3.860000,-0.770526
3.870000,-0.728983
3.880000,-0.684562
3.890000,-0.637440
3.900000,-0.587802
3.910000,-0.535844
3.920000,-0.481772
3.930000,-0.425798
3.940000,-0.368144
3.950000,-0.309037
3.960000,-0.248710
3.970000,-0.187402
3.980000,-0.125354
3.990000,-0.062812
4.000000,-0.000021
4.010000,0.062769
4.020000,0.125312
4.030000,0.187360
4.040000,0.248669
4.050000,0.308997
4.060000,0.368105
4.070000,0.425760
4.080000,0.481735
4.090000,0.535808
4.100000,0.587768
4.110000,0.637407
4.120000,0.684531
4.130000,0.728954
4.140000,0.770499
4.150000,0.809004
4.160000,0.844316
4.170000,0.876296
4.180000,0.904818
4.190000,0.929768
4.200000,0.951050
4.210000,0.968578
4.220000,0.982283
4.230000,0.992112
4.240000,0.998025
4.250000,1.000000
4.260000,0.998028
4.270000,0.992118
4.280000,0.982292
4.290000,0.968589
4.300000,0.951064
4.310000,0.929785
4.320000,0.904837
4.330000,0.876318
4.340000,0.844340
4.350000,0.809031
4.360000,0.770528
4.370000,0.728985
4.380000,0.684564
4.390000,0.637442
4.400000,0.587804
4.410000,0.535847
4.420000,0.481774
4.430000,0.425801
4.440000,0.368146
4.450000,0.309039
4.460000,0.248713
4.470000,0.187405
4.480000,0.125357
4.490000,0.062814
4.500000,0.000024
4.510000,-0.062767
4.520000,-0.125309
4.530000,-0.187358
4.540000,-0.248667
4.550000,-0.308994
4.560000,-0.368102
4.570000,-0.425757
4.580000,-0.481732
4.590000,-0.535806
4.600000,-0.587766
4.610000,-0.637405
4.620000,-0.684529
4.630000,-0.728952
4.640000,-0.770498
4.650000,-0.809002
4.660000,-0.844315
4.670000,-0.876295
4.680000,-0.904816
4.690000,-0.929767
4.700000,-0.951049
4.710000,-0.968577
4.720000,-0.982283
4.730000,-0.992112
4.740000,-0.998025
4.750000,-1.000000
4.760000,-0.998028
4.770000,-0.992118
4.780000,-0.982292
4.790000,-0.968589
4.800000,-0.951064
4.810000,-0.929786
4.820000,-0.904838
4.830000,-0.876319
4.840000,-0.844342
4.850000,-0.809032
4.860000,-0.770530
4.870000,-0.728986
4.880000,-0.684566
4.890000,-0.637444
4.900000,-0.587806
4.910000,-0.535849
4.920000,-0.481777
4.930000,-0.425803
4.940000,-0.368149
4.950000,-0.309042
4.960000,-0.248715
4.970000,-0.187407
4.980000,-0.125359
4.990000,-0.062817
5.000000,-0.000027
5.010000,0.062764
5.020000,0.125307
5.030000,0.187355
