time,value
-5.000000,0.000001
-4.990000,0.002005
-4.980000,0.004014
-4.970000,0.006028
-4.960000,0.008044
-4.950000,0.010060
-4.940000,0.012075
-4.930000,0.014085
-4.920000,0.016090
-4.910000,0.018088
-4.900000,0.020075
-4.890000,0.022051
-4.880000,0.024013
-4.870000,0.025959
-4.860000,0.027888
-4.850000,0.029797
-4.840000,0.031684
-4.830000,0.033548
-4.820000,0.035386
-4.810000,0.037198
-4.800000,0.038979
-4.790000,0.040730
-4.780000,0.042448
-4.770000,0.044131
-4.760000,0.045778
-4.750000,0.047386
-4.740000,0.048954
-4.730000,0.050480
-4.720000,0.051963
-4.710000,0.053401
-4.700000,0.054792
-4.690000,0.056134
-4.680000,0.057427
-4.670000,0.058669
-4.660000,0.059858
-4.650000,0.060993
-4.640000,0.062073
-4.630000,0.063096
-4.620000,0.064060
-4.610000,0.064966
-4.600000,0.065811
-4.590000,0.066595
-4.580000,0.067317
-4.570000,0.067975
-4.560000,0.068569
-4.550000,0.069097
-4.540000,0.069560
-4.530000,0.069955
-4.520000,0.070284
-4.510000,0.070544
-4.500000,0.070736
-4.490000,0.070858
-4.480000,0.070911
-4.470000,0.070894
-4.460000,0.070807
-4.450000,0.070650
-4.440000,0.070421
-4.430000,0.070123
-4.420000,0.069753
-4.410000,0.069313
-4.400000,0.068802
-4.390000,0.068221
-4.380000,0.067570
-4.370000,0.066849
-4.360000,0.066058
-4.350000,0.065199
-4.340000,0.064271
-4.330000,0.063275
-4.320000,0.062212
-4.310000,0.061083
-4.300000,0.059887
-4.290000,0.058628
-4.280000,0.057304
-4.270000,0.055917
-4.260000,0.054468
-4.250000,0.052959
-4.240000,0.051390
-4.230000,0.049763
-4.220000,0.048080
-4.210000,0.046340
-4.200000,0.044546
-4.190000,0.042700
-4.180000,0.040803
-4.170000,0.038856
-4.160000,0.036862
-4.150000,0.034821
-4.140000,0.032736
-4.130000,0.030608
-4.120000,0.028440
-4.110000,0.026234
-4.100000,0.023990
-4.090000,0.021712
-4.080000,0.019401
-4.070000,0.017060
-4.060000,0.014690
-4.050000,0.012294
-4.040000,0.009874
-4.030000,0.007432
-4.020000,0.004971
-4.010000,0.002493
-4.000000,-0.000001
-3.990000,-0.002507
-3.980000,-0.005023
-3.970000,-0.007546
-3.960000,-0.010075
-3.950000,-0.012607
-3.940000,-0.015139
-3.930000,-0.017669
-3.920000,-0.020195
-3.910000,-0.022713
-3.900000,-0.025222
-3.890000,-0.027719
-3.880000,-0.030201
-3.870000,-0.032666
-3.860000,-0.035112
-3.850000,-0.037536
-3.840000,-0.039935
-3.830000,-0.042307
-3.820000,-0.044650
-3.810000,-0.046961
-3.800000,-0.049237
-3.790000,-0.051477
-3.780000,-0.053678
-3.770000,-0.055837
-3.760000,-0.057952
-3.750000,-0.060022
-3.740000,-0.062043
-3.730000,-0.064013
-3.720000,-0.065931
-3.710000,-0.067794
-3.700000,-0.069600
-3.690000,-0.071347
-3.680000,-0.073033
-3.670000,-0.074655
-3.660000,-0.076213
-3.650000,-0.077704
-3.640000,-0.079126
-3.630000,-0.080477
-3.620000,-0.081756
-3.610000,-0.082962
-3.600000,-0.084092
-3.590000,-0.085145
-3.580000,-0.086120
-3.570000,-0.087015
-3.560000,-0.087829
-3.550000,-0.088561
-3.540000,-0.089209
-3.530000,-0.089773
-3.520000,-0.090251
-3.510000,-0.090642
-3.500000,-0.090946
-3.490000,-0.091161
-3.480000,-0.091288
-3.470000,-0.091325
-3.460000,-0.091272
-3.450000,-0.091128
-3.440000,-0.090893
-3.430000,-0.090567
-3.420000,-0.090149
-3.410000,-0.089639
-3.400000,-0.089038
-3.390000,-0.088345
-3.380000,-0.087561
-3.370000,-0.086685
-3.360000,-0.085719
-3.350000,-0.084661
-3.340000,-0.083514
-3.330000,-0.082277
-3.320000,-0.080951
-3.310000,-0.079537
-3.300000,-0.078035
-3.290000,-0.076448
-3.280000,-0.074775
-3.270000,-0.073017
-3.260000,-0.071177
-3.250000,-0.069255
-3.240000,-0.067252
-3.230000,-0.065170
-3.220000,-0.063011
-3.210000,-0.060776
-3.200000,-0.058467
-3.190000,-0.056086
-3.180000,-0.053634
-3.170000,-0.051114
-3.160000,-0.048527
-3.150000,-0.045875
-3.140000,-0.043162
-3.130000,-0.040388
-3.120000,-0.037556
-3.110000,-0.034669
-3.100000,-0.031729
-3.090000,-0.028739
-3.080000,-0.025701
-3.070000,-0.022617
-3.060000,-0.019491
-3.050000,-0.016325
-3.040000,-0.013122
-3.030000,-0.009886
-3.020000,-0.006617
-3.010000,-0.003321
-3.000000,0.000001
