time,value
0.000000,5.000000
0.052632,5.000000
0.105263,5.000000
0.157895,5.000000
0.210526,5.000000
0.263158,-5.000000
0.315789,-5.000000
0.368421,-5.000000
0.421053,-5.000000
0.473684,-5.000000
0.526316,5.000000
0.578947,5.000000
0.631579,5.000000
0.684211,5.000000
0.736842,5.000000
0.789474,-5.000000
0.842105,-5.000000
0.894737,-5.000000
0.947368,-5.000000
1.000000,-5.000000
1.052632,5.000000
1.105263,5.000000
1.157895,5.000000
1.210526,5.000000
1.263158,-5.000000
1.315789,-5.000000
1.368421,-5.000000
1.421053,-5.000000
1.473684,-5.000000
1.526316,5.000000
1.578947,5.000000
1.631579,5.000000
1.684211,5.000000
1.736842,5.000000
1.789474,-5.000000
1.842105,-5.000000
1.894737,-5.000000
1.947368,-5.000000
2.000000,-5.000000
2.052632,5.000000
2.105263,5.000000
2.157895,5.000000
2.210526,5.000000
2.263158,-5.000000
2.315789,-5.000000
2.368421,-5.000000
2.421053,-5.000000
2.473684,-5.000000
2.526316,5.000000
2.578947,5.000000
2.631579,5.000000
2.684211,5.000000
2.736842,5.000000
2.789474,-5.000000
2.842105,-5.000000
2.894737,-5.000000
2.947368,-5.000000
3.000000,-5.000000
3.052632,5.000000
3.105263,5.000000
3.157895,5.000000
3.210526,5.000000
3.263158,-5.000000
3.315789,-5.000000
3.368421,-5.000000
3.421053,-5.000000
3.473684,-5.000000
3.526316,5.000000
3.578947,5.000000
3.631579,5.000000
3.684211,5.000000
3.736842,5.000000
3.789474,-5.000000
3.842105,-5.000000
3.894737,-5.000000
3.947368,-5.000000
4.000000,-5.000000
4.052632,5.000000
4.105263,5.000000
4.157895,5.000000
4.210526,5.000000
4.263158,-5.000000
4.315789,-5.000000
4.368421,-5.000000
4.421053,-5.000000
4.473684,-5.000000
4.526316,5.000000
4.578947,5.000000
4.631579,5.000000
4.684211,5.000000
4.736842,5.000000
4.789474,-5.000000
4.842105,-5.000000
4.894737,-5.000000
4.947368,-5.000000
5.000000,-5.000000
