time,value
0.000000,0.000013
1.000000,0.212237
2.000000,0.424078
3.000000,0.635154
4.000000,0.845086
5.000000,1.053494
6.000000,1.260004
7.000000,1.464243
8.000000,1.665843
9.000000,1.864440
10.000000,2.059677
11.000000,2.251202
12.000000,2.438669
13.000000,2.621740
14.000000,2.800087
15.000000,2.973387
16.000000,3.141327
17.000000,3.303606
18.000000,3.459930
19.000000,3.610019
20.000000,3.753600
21.000000,3.890417
22.000000,4.020221
23.000000,4.142780
24.000000,4.257872
25.000000,4.365289
26.000000,4.464839
27.000000,4.556342
28.000000,4.639632
29.000000,4.714560
30.000000,4.780990
31.000000,4.838804
32.000000,4.887896
33.000000,4.928179
34.000000,4.959579
35.000000,4.982040
36.000000,4.995522
37.000000,5.000000
38.000000,4.995466
39.000000,4.981929
40.000000,4.959412
41.000000,4.927957
42.000000,4.887619
43.000000,4.838473
44.000000,4.780605
45.000000,4.714122
46.000000,4.639142
47.000000,4.555800
48.000000,4.464247
49.000000,4.364648
50.000000,4.257182
51.000000,4.142044
52.000000,4.019439
53.000000,3.889591
54.000000,3.752732
55.000000,3.609109
56.000000,3.458981
57.000000,3.302619
58.000000,3.140304
59.000000,2.972329
60.000000,2.798997
61.000000,2.620621
62.000000,2.437521
63.000000,2.250027
64.000000,2.058479
65.000000,1.863220
66.000000,1.664603
67.000000,1.462986
68.000000,1.258732
69.000000,1.052209
70.000000,0.843790
71.000000,0.633850
72.000000,0.422767
73.000000,0.210923
74.000000,-0.001302
75.000000,-0.213524
76.000000,-0.425361
77.000000,-0.636432
78.000000,-0.846356
79.000000,-1.054754
80.000000,-1.261251
81.000000,-1.465475
82.000000,-1.667057
83.000000,-1.865635
84.000000,-2.060851
85.000000,-2.252352
86.000000,-2.439793
87.000000,-2.622837
88.000000,-2.801154
89.000000,-2.974422
90.000000,-3.142329
91.000000,-3.304573
92.000000,-3.460860
93.000000,-3.610910
94.000000,-3.754451
95.000000,-3.891226
96.000000,-4.020987
97.000000,-4.143501
98.000000,-4.258547
99.000000,-4.365917
100.000000,-4.465419
101.000000,-4.556872
102.000000,-4.640112
103.000000,-4.714989
104.000000,-4.781367
105.000000,-4.839128
106.000000,-4.888167
107.000000,-4.928396
108.000000,-4.959742
109.000000,-4.982149
110.000000,-4.995576
111.000000,-5.000000
112.000000,-4.995411
113.000000,-4.981819
114.000000,-4.959248
115.000000,-4.927739
116.000000,-4.887348
117.000000,-4.838148
118.000000,-4.780228
119.000000,-4.713692
120.000000,-4.638661
121.000000,-4.555269
122.000000,-4.463667
123.000000,-4.364019
124.000000,-4.256506
125.000000,-4.141322
126.000000,-4.018673
127.000000,-3.888781
128.000000,-3.751880
129.000000,-3.608217
